id	label	prediction	aggressive_probability	non-aggressive_probability	text
1		non-aggressive	0.105	0.895	Stop setting yourself on fire for someone who stays to watch you burn
2		non-aggressive	0.254	0.746	BlakePaules fuck or kill httptco2J6KmhqTKM
3		non-aggressive	0.046	0.954	Im definitely gonna be in need of Starbucks tomorrow to get through the day 😭🔫
4		non-aggressive	0.032	0.968	All I gotta do is wait and see what happens
5		non-aggressive	0.022	0.978	So cute it hurts RT FallonTonight First Lick A Film by Jimmy Fallon just went live on YouTube httpstcobIe9DgEtyb
6		non-aggressive	0.077	0.923	jkJessKidding YESSSS PLEASE 🍕❤️
7		non-aggressive	0.225	0.775	Dari Thinks Shordy Dont Even Follow Me Seem Cool Yeah Dont Be A Ghost 💯😁 49BoiDaro
8		non-aggressive	0.042	0.958	Checked out this book from the library called protecting ones turf thinking it was about gangs turns out its about keeping Mexicans out😐
9		non-aggressive	0.052	0.948	GelicaDee Awe youre so adorable lt3
10		non-aggressive	0.071	0.929	Love Is Really Over Rated Nah Love Is The Best Fucking ThingWhen Its REAL 💯
11		non-aggressive	0.066	0.934	Red Liners getting a warmup in before the championship game starts httptcoG1nwixe8tt
12		non-aggressive	0.103	0.897	skiptomyyLUE you shouldnt leave
13		non-aggressive	0.055	0.945	RICE Announced the resignation of head mens basketball coach Ben Braun httptcoIsXpXEJu1u
14		non-aggressive	0.031	0.969	kshepherd13 OMG I know Those were the best 😎
15		non-aggressive	0.043	0.957	So awk lmao
16		non-aggressive	0.028	0.972	damn I love my friends
17		aggressive	0.828	0.172	MzImDaShyt KaybawGotFans yo soft ass bitch BITCH I KNOW YU ANT TALKING FUCK U PET amp WHY U DELETE YO IG COMMENT
18		non-aggressive	0.087	0.913	Markets finally realizing Ukraine situation is real Dont worry excuse to ctrlp Buy but buy
19		non-aggressive	0.052	0.948	GoLiveFaMyDAWGS ohhh LAWD 👀🍑❤️❤️ lol
20		non-aggressive	0.073	0.927	Dawwwss funny httptcouDlYAv79gi
21		non-aggressive	0.034	0.966	Frank Ocean as a rapper is actually pretty good
22		non-aggressive	0.06	0.94	taras123 I respect your loyalty 300
23		non-aggressive	0.161	0.839	Because when you help someone else reach what they strive to be youre left to strive on your own
24		non-aggressive	0.107	0.893	“ACAmmafargo Kick some ass paulbradley184 BellatorMMA this weekend futurebellatorchamp” thx guys first step is tomorrow
25		non-aggressive	0.043	0.957	God is the only man who has never let me down
26		non-aggressive	0.059	0.941	I walk in then I turn uuuhhhhnhn
27		non-aggressive	0.028	0.972	My feet are dead This is the beginning of my work weekend Da fuc
28		non-aggressive	0.1	0.9	DestinyJadai shhhhh 🙊 dont tell
29		non-aggressive	0.104	0.896	SamSweeney or when youre alone in a room talking to yourself in full blown conversation and then someone walks in
30		non-aggressive	0.07	0.93	Optimistic 😎
31		non-aggressive	0.222	0.778	BP1095 I knew you couldnt drive for shit
32		non-aggressive	0.124	0.876	Damn it Marjery still hasnt accepted my proposal what an asshole 😒😂😂😂😂😂
33		non-aggressive	0.08	0.92	shonDERRS no you pansy this is nothing life Greys it gossip girl
34		non-aggressive	0.074	0.926	Cops yessss 😎
35		non-aggressive	0.023	0.977	169 days until I see One Direction 🙈❤️😍❤️😍❤️😍❤️😍❤️
36		non-aggressive	0.046	0.954	TelevisionAcad is there anyway to rewatch the live stream helpadesperatefan
37		non-aggressive	0.026	0.974	A SO to Shelby cuz its her 16th birthday Happy birthday 🎉 HBD httptcoPV4bSRPM8j
38		non-aggressive	0.064	0.936	RakestrawJeff Keep the faith Fight the good fight Thank you for following amp please remember good always conquers evil
39		non-aggressive	0.354	0.646	McNealPaige nah she pay the bill That bitch like 170 a month tf 😩😂
40		non-aggressive	0.055	0.945	Watching bad teacher while reviewingediting a Spanish paperAlittleironic whatsthirstythursday 😒
41		non-aggressive	0.059	0.941	This picture looks amazing  httptco7D1i3BhTja
42		non-aggressive	0.061	0.939	liamdonahue18 for what
